file;doc_id;bank;field;model_value;model_conf;product_class;crosscheck;plausibility;freshness;current_value;published_rates;suggested_gold;source_url;note
round0_kalibrasyon_A.csv;albaraka--detay-vade-farksiz-kampanyasi;albaraka;kar_payi_orani;40000.0;0.50;;kaynak_yok;;bayat_farkli;0.0;;;;doc_id urun sinifini belirtmiyor — esleştirme yapilmadi
round0_kalibrasyon_A.csv;kuveyt-turk--altin-hesaplari-altina-altin-katilma-hesabi;kuveyt-turk;kar_payi_orani;40.0;0.50;katilma;kaynak_yok;;guncel;40.0;;;;'katilma' icin ilan edilmis oran toplanamadi
round0_kalibrasyon_A.csv;turkiye-emlak-katilim--bireysel-hesaplar;turkiye-emlak-katilim;kar_payi_orani;25.0;0.50;katilma;celisiyor;;bayat_fazla;;%33.84, %36.27, %36.78, %37.71, %38.73;;https://www.emlakkatilim.com.tr/Plugins/CalculateProfitShareRate?LanguageId=1&Money=50000&Fec=0&profitShareInstallment=0&MaturityTerm=32&profitShareInstallmentValueDay=32;cikarilan 25.0 ilan edilen oranlarla ortusmuyor
round0_kalibrasyon_A.csv;albaraka--tasit-finansmani-togg-finansmani;albaraka;kar_payi_orani;2.99;0.95;tasit;celisiyor;makul;bayat_fazla;;%3.75;%3.75;https://www.albaraka.com.tr/tr/hesaplama-araclari/finansman-hesaplama;cikarilan 2.99 ilan edilen oranlarla ortusmuyor
round0_kalibrasyon_A.csv;turkiye-emlak-katilim--finansmanlar-ihtiyac-finansmani;turkiye-emlak-katilim;kar_payi_orani;1.69;0.95;ihtiyac;kaynak_yok;makul;bayat_fazla;;;;;'ihtiyac' icin ilan edilmis oran toplanamadi
round0_kalibrasyon_A.csv;turkiye-finans--konut-finansmani-konut-finansmani;turkiye-finans;kar_payi_orani;"{""max"": 4.42, ""min"": 2.95}";0.90;konut;kaynak_yok;makul;bayat_fazla;;;;;'konut' icin ilan edilmis oran toplanamadi
round0_kalibrasyon_A.csv;turkiye-finans--tasit-finansmani-tasit-finansmani-2;turkiye-finans;kar_payi_orani;"{""max"": 4.27, ""min"": 3.42}";0.90;tasit;kaynak_yok;makul;bayat_fazla;;;;;'tasit' icin ilan edilmis oran toplanamadi
round0_kalibrasyon_A.csv;albaraka--ihtiyac-saglik-harcamalariniz-icin;albaraka;kar_payi_orani;;;ihtiyac;kaynak_yok;;guncel;;%4.0;%4.0;https://www.albaraka.com.tr/tr/hesaplama-araclari/finansman-hesaplama;model deger uretmedi — ilan edilen oran mevcut
round0_kalibrasyon_A.csv;dunya-katilim--katilma-hesaplari-gunes-katilma-hesabi;dunya-katilim;kar_payi_orani;;;katilma;kaynak_yok;;guncel;;;;;'katilma' icin ilan edilmis oran toplanamadi
round0_kalibrasyon_A.csv;dunya-katilim--kendim-icin-altin-bankaciligi;dunya-katilim;kar_payi_orani;;;katilma;kaynak_yok;;guncel;;;;;'katilma' icin ilan edilmis oran toplanamadi
